2019-12-13 14:02:38,860 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:02:41,906 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:02:41,907 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:04:41,582 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:04:44,343 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:04:44,345 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:05:16,594 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:05:17,986 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:05:17,987 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:05:50,401 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:05:50,863 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:05:50,865 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:10:00,752 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:10:01,193 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:10:01,195 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:20:24,722 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:20:25,207 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:20:25,210 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:22:27,993 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:22:28,457 | DEBUG    | 0116 | Exception in replacing empty
2019-12-13 14:22:28,459 | DEBUG    | 0116 | Exception in replacing empty
